przynosić, sprowadzać, odebrać|holen
paczka|Packung
sklep|Geschäft
załatwiać|besorgen
rynek, targ, targowisko|Markt
półbut|Halbschuhe
odbywać się, mieć miejsce|stattfinden
na|auf
podobać się|gefallen
stać, wystawać, być napisanym, pasować|stehen
pasować, dobrze leżeć|passen
numer, liczba|Nummer
sztuka, kawałek|Stück
ocieplane spodnie|Thermohose
rękawica narciarska|der Skihandschuh
kilogram|Kilo
prasować|bügeln
stołówka|Mensa
cyrkiel|Zirkel
młodzież|Jugendliche
relaksować się|abschalten
przyczepa|Anhänger
ważny|wichtig
z przodu|vorne
marynarka|Sakko
wielkość, rozmiar, objętość, wzrost|Größe
butelka|Flasche
czapka|Mütze
sweter|Pullover
kurtka, marynarka, żakiet|Jacke
wygodnie|bequem
sala gimnastyczna|Turnhalle
kozak (but)|Stiefel
nieoczekiwany|unerwartet
baleriny (obuwie)|Ballerinas
pilnie|dringend
kolacja|das Abendbrot
bluza|Sweatshirt
cukiernia|Konditorei
wegetariański|vegetarisch
przychodzić w odwiedziny|zu Besuch kommen
robić zakupy|Einkäufe machen
do, w|in
stylowy|stylish
strój narciarski|Skibekleidung
bluza|Sweatshirt
przymierzyć|anprobieren
wyglądać|aussehen
kolor|Farbe
polecić|empfehlen
szal, szalik|Schal
skarpetka|Socke
sklep internetowy|das Internetgeschäft
jarosz|Vegetarier
czółenko (obuwie)|Pumps
pół, połowa, na pół|halb
skeakersy, buty sportowe|die Sneakers
minuta na piechotę|die Gehminute
śniadanie|Frühstück
karton|Karton
obniżony|reduziert
piekarnia|Bäckerei
porcja|die Portion
cena, nagroda|der Preis
marka|die Marke
do|bis zu
zamówić|bestellen
ulubiony, ulubiona|Liebling
wyglądać|aussehen
wąski, wąskie|eng
supermarket|der Supermarkt
puszka|die Dose
funt|das Pfund
katar|der Schnupfen
odpoczywać|sich erholen
upadać|fallen
kaszel|der Husten
gorączka|das Fieber
szkoda|Schade
zażyć|einnehmen
lekarz|der Arzt
apteka|die Apotheke
szybkiego powrotu do zdrowia|gute Besserung
bóle głowy|die Kopfschmerzen
przeziębienie|die Erkältung
lekarstwa|die Medikamente
boleć|wehtun
czuć się|sich fühlen
przeziębić|sich erkälten
przykro mi|Es tut mir leid
bóle brzucha|die Bauchschmerzen
skręcić (uraz nogi)|umknicken
grypa|die Grippe
sos pomidorowy|die Tomatensoße
zupa kartoflanka|der Kartoffelneintopf
sos pieprzowy|die Pfeffersoße
kotlet mielony|die Frikadelle
sajgonki|die Frühlingsröllchen
sałatka ziemniaczana|der Kartoffelsalat
kanapka|der Sandwich
przyrządzać|zubereiten
słony paluszek|die Salzstange
ciasto, placek, ciastko|der Kuchen
sos grzybowy|die Pilzsoße
mus jabłkowy|das Apfelmus
sałatka z pomidorów|der Tomatensalat
ziemniak ugotowany w wodzie|der Salzkartoffel
zupa|die Suppe
filet z kurczaka|das Hähnchenfilet
drzwi|die Tür
nieporozumienie|das Missverständnis
makaron|die Nudeln
ryż|der Reis
naleśnik|der Pfannkuchen
poparzyć się|sich verbrennen
zaciąć się, skaleczyć się|sich schneiden
niebezpieczny, niebezpiecznie|gefährlich
ostry|scharf
spadać|runterfallen
poślizgnąć się|ausrutschen
palec|der Finger
śpieszyć się|sich beeilen
pech|das Pech
wydarzać się, zdarzać się, przytrafiać się|passieren
ostrożność, przezorność|die Vorsicht
krwawić|bluten
krew|das Blut
ostrożny|vorsichtig
mocny, silny, mocno, silnie|stark
uważać |aufpassen
nieszczęście, katastrofa|das Unglück
głębokie, niskie|tief
koncentrować, skupiać|konzentrieren
ręka|der Arm
wsypywać, nalewać|schütten
saszetka|der Beutel
bez recepty|rezeptfrei
kropla|der Tropfen
przed|vor
po|nach
tabletka przeciwbólowa|die Schmerztablette
proszek|das Pulver
przeciw, przeciwko|gegen
dawkować|dosieren
ssać|lutschen
raz|einmal
lekarstwo|das Medikament
krople do nosa|die Nasentropfen
codzienny|täglich
łykać, połykać|schlucken
posępny, ponury|düster
pomysłowy, oryginalny|originell
depresyjny|depressiv
jazz|der Jazz
ballada|die Ballade
keybord|das Keyboard
muzyka rokowa|die Rockmusik
kiczowaty|kitschig
gitara|die Gitarre
rodzaj muzyki|die Musikrichtung
duet|das Duet
początek, rozpoczęcie|der Beginn
stawka za godzinę|der Stundenlohn
czas pracy|die Arbeitszeit
przyjemność|der Spaß
napiwek|das Trinkgeld
zespół|das Team
wynagrodzenie|der Lohn
od (począwszy od)|ab
niania|der Babysitter
od zaraz|ab sofort
miejsce, miejscowość|der Ort
zarobek|der Verdienst
zbierać (żniwa, owoce)|ernten
mieć pozwolenie|dürfen
czynność|die Tätigkeit
troszczyć|sich kümmern
poprawiać|aufbessern
pracować dorywczo|jobben
wiek|das Alter
gospodarstwo rolne|der Bauernhof
praca wakacyjna|der Ferienjob
sąsiad|der Nachbar
praca pomocnicza|der Hilfsjob
praca młodzieży|die Jugendarbeit
sprzątać|aufräumen
reguła, zasada, prawidło|die Regel
praca dodatkowa|der Nebenjob
pomoc (w pracy)|die Aushilfe
potrzebować|brauchen
płacić|zahlen
drobne pieniądze|das Kleingeld
reszta (pieniądze)|das Rückgeld
w gotówce|bar
mieć przy sobie|dabei haben
mieć odliczoną kwotę gotówki|Geld passend haben
obchodzić się z pieniędzmi|mit dem Geld umgehen
obywatel|der Bürger
świętować, obchodzić|feiern
wspólny, wspólnie|gemeinsam
oddzielony, oddzielny, oddzielnie|getrennt
gotówka|das Bargeld
średniowiecze|das Mittelalter
bogaty|reich
kara|die Strafe
surowy, srogi|streng
zdradzać|verraten
obecnie|heutzutage
mnich|der Mönch
publiczny, jawny|öffentlich
bezpłatny, darmowy|kostenlos
nauka przyrodnicza|die Naturwissenschaft
jubileusz, rocznica|das Jubiläum
archiwum|das Archiv
rok założenia|das Gründungsjahr
szkoła przyklasztorna|die Klosterschule
budynek szkoły|das Schulhaus
obchodzić jubileusz|ein Jubiläum feiern
brakować, być nieobecnym|fehlen
poziom|das Niveau
ogłoszenie|die Anzeige
przeżywać, doświadczać|erleben
postęp|der Fortschritt
certyfikat|das Zertifikat
zakres, rozmiar|der Umfang
obóz językowy|die Sprachreise
oferta, propozycja|das Angebot
z góry|im Voraus
czas trwania kursu|die Kursdauer
native speaker, natywny użytkownik języka|der Muttersprachler
kurs letni|der Sommerkurs
jednostka lekcyjna|die Unterrichtseinheit
materiał dydaktyczny|das Unterrichtsmaterial
ciekawić|reizen
w krótkim czasie|in kurzer Zeit
długo|lange
szukać, poszukiwać|suchen
stres|der Stress
warunek|die Kondition
dostęp|der Zugang
płacenie|das Zahlen
konto oszczędnościowe|das Sparkonto
dokument|das Dokument
bankowość internetowa|das Online-Banking
karta płatnicza|die Bankkarte
doładowanie|das Aufladen
bezgotówkowy|bargeldlos
podpis|die Unterschrift
bankomat|der Geldautomat
rachunek bieżący|das Girokonto
wypełnić dokument|ein Dokument ausfüllen
wysyłać pocztą|per Post schicken
doładowywać|aufladen
dowód osobisty|der Personalausweis
prowadzenie konta|die Kontoführung
wpadać (odwiedzać kogoś)|vorbeikommen
podpisywać|unterschreiben
wpłacać|einzahlen
strona internetowa|die Webseite
podjąć (pieniądze)|abheben
oferować|anbieten
otwierać|eröffnen
trzymać, chwytać|halten
potwierdzenie|die Bestätigung
karta|die Karte
czytnik|das Lesegerät
numer PIN|die PIN-Nummer
przycisk|die Taste
zbliżeniowo|kontaktlos
wsuwać|schieben
nacisnąć na|drücken auf
to wynosi (pieniądze)|das macht
weekend|das Wochenende
świnka skarbonka|das Sparschwein
nikt|keiner
numer PIN|die Geheimzahl
opłacać się|sich lohnen
rezultat|das Ergebnis
wszyscy|alle
kilka|einige
oszczędzać|sparen
każdy|jeder
kieszonkowe|das Taschengeld
rata|die Rate
obchodzić się|umgehen
wielu, wiele|viele
skarbonka|die Spardose
wydawać (pieniądze)|ausgeben
dług|die Schuld
zarabiać, zasługiwać|verdienen
potwierdzać, zatwierdzać|bestätigen
funkcja, stanowisko|die Funktion
wystarczająco|ausreichend
podawać PIN|die PIN eingeben
wziąć|entnehmen
podawać|eingeben
powiatowa kasa oszczędności|die Kreissparkasse
